Topic_0,model busi process,java-visual-tool-search-trace
Topic_1,inform commun technolog,state-govern-public-digit-inform
Topic_2,high level languag,program-techniqu-languag-type-gener
Topic_3,access control polici,resourc-queri-access-polici-server
Topic_4,servic level agreement,servic-composit-trust-pair-compos
Topic_5,stochast petri net,share-deploy-petri-peer-packag
Topic_6,knowledg manag km,knowledg-organiz-organ-track-knowledg manag
Topic_7,fault local techniqu,method-fault-propos-result-detect
Topic_8,finit state machin,distribut-constraint-modul-messag-commun
Topic_9,million line code,code-secur-chang-mainten-evolut
Topic_10,model languag uml,model-develop-requir-compon-approach
Topic_11,model driven develop,driven-profil-artifact-model driven-driven develop
Topic_12,busi process model,process-manag-inform-document-framework
Topic_13,product develop process,product-featur-line-reus-ontolog
Topic_14,aspect orient program,team-agent-aspect-workflow-coordin
Topic_15,develop object orient,innov-educ-idea-engin-profession
Topic_16,captur recaptur model,inspect-infer-read-synchron-asynchron
Topic_17,artifici neural network,cost-metric-strategi-coupl-reduc
Topic_18,commun sequenti process,privaci-locat-pervas-auction-api
Topic_19,servic orient architectur,architectur-adapt-servic-applic-enterpris
Topic_20,object orient program,design-object-orient-object orient-class
Topic_21,object orient model,interact-concurr-graphic-principl-semant
Topic_22,industri case studi,develop-project-studi-requir-result
Topic_23,test case gener,test-case-gener-test case-coverag
Topic_24,domain specif languag,specif-domain-specif languag-formal specif-domain specif
Topic_25,object orient framework,graph-cluster-depend-similar-structur
Topic_26,wireless sensor network,network-scheme-propos-imag-commun
Topic_27,singl case studi,bodi-collabor design-regul-concurr control-introductori
Topic_28,electron medic record,interfac-adopt-usabl-human-design
Topic_29,decis make process,collabor-commun-group-inform-decis
Topic_30,mont carlo simul,chain-connector-markov-risk assess-markov chain
Topic_31,enterpris resourc plan,servic-busi-mobil-custom-market
Topic_32,share memori multiprocessor,algorithm-pattern-problem-optim-perform
Topic_33,java virtual machin,virtual-environ-platform-high-machin
Topic_34,nuclear power plant,rule-properti-logic-game-verif
Topic_35,discret event simul,simul-protocol-agil-rout-energi
Topic_36,distribut real time,time-real-real time-schedul-task
Topic_37,regress test select,power-grid-page-classif-electr
Topic_38,systemat literatur review,qualiti-attribut-measur-evalu-improv
Topic_39,support vector machin,model-measur-predict-estim-transform
