Topic_0,distribut real time,time-real-java-real time-dynam
Topic_1,clone detect tool,govern-visual-trace-refactor-inform
Topic_2,natur languag process,program-code-approach-techniqu-result
Topic_3,decis make process,distribut-decis-agent-manag-control
Topic_4,servic orient architectur,servic-busi-composit-busi process-trust
Topic_5,high level languag,resourc-level-high-share-high level
Topic_6,abstract syntax tree,strategi-assumpt-random-adapt-markov
Topic_7,test case gener,test-case-reliabl-test case-gener
Topic_8,support vector machin,algorithm-problem-perform-optim-time
Topic_9,model driven develop,framework-product-domain-develop-approach
Topic_10,integr develop environ,model-compon-architectur-process-develop
Topic_11,enterpris resourc plan,impact-firm-relationship-invest-manufactur
Topic_12,cap font size,inform-collabor-document-queri-search
Topic_13,access control polici,secur-scheme-attack-imag-propos
Topic_14,aspect orient program,aspect-workflow-librari-concern-global
Topic_15,wireless sensor network,network-protocol-commun-power-cluster
Topic_16,fault prone modul,predict-defect-model-modul-inspect
Topic_17,semi structur interview,mobil-market-inform-devic-internet
Topic_18,domain specif languag,agil-project-toler-project manag-version
Topic_19,perform case studi,calculu-repair-stori-chines-offic
Topic_20,object orient program,design-object-knowledg-orient-object orient
Topic_21,concurr object orient,concurr-logic-transform-program-properti
Topic_22,inform commun technolog,develop-studi-project-manag-process
Topic_23,object orient languag,languag-gener-type-program-class
Topic_24,discret event simul,measur-estim-group-model-simul
Topic_25,make inform decis,filter-grain-recognit-fine-fine grain
Topic_26,unifi model languag,requir-specif-tool-model-formal
Topic_27,real time task,task-mainten-perform-robot-assign
Topic_28,systemat literatur review,method-qualiti-evalu-improv-metric
Topic_29,result empir studi,learn-failur-fault-onlin-effect
