Topic_0,busi process model,busi-time-real-process-real time
Topic_1,architectur design implement,state-properti-verif-behavior-verifi
Topic_2,high level languag,program-languag-type-structur-gener
Topic_3,suppli chain manag,resourc-comput-market-manag-negoti
Topic_4,servic orient architectur,servic-composit-trust-provid-orient
Topic_5,object orient design,cost-server-client-review-peer
Topic_6,state space explos,strategi-adapt-assumpt-instrument-propag
Topic_7,result case studi,method-result-code-approach-evalu
Topic_8,finit state machin,algorithm-time-constraint-schedul-optim
Topic_9,decis make process,group-decis-support-make-task
Topic_10,develop life cycl,design-compon-architectur-develop-methodolog
Topic_11,high level petri,execut-debug-state-program-failur
Topic_12,extens markup languag,document-queri-inform-ontolog-relat
Topic_13,role access control,secur-risk-polici-attack-vulner
Topic_14,aspect orient program,reliabl-aspect-java-failur-concern
Topic_15,reduc develop cost,power-load-grid-balanc-electr
Topic_16,integr develop environ,record-race-integr develop-introductori-replay
Topic_17,unifi model languag,specif-formal-semant-languag-model
Topic_18,agil develop method,agil-synthesi-iter-safe-subsystem
Topic_19,domain specif model,connector-adl-dsml-refer architectur-exist literatur
Topic_20,inform commun technolog,inform-knowledg-organ-manag-learn
Topic_21,collabor design environ,hypermedia-aspectori program-aspect model-similar differ-facial
Topic_22,industri case studi,develop-project-requir-process-team
Topic_23,review empir studi,pattern-rule-tree-structur-classif
Topic_24,singl case studi,array-legal-combinatori-cover-interleav
Topic_25,control case studi,game-componentbas-player-charact-densiti
Topic_26,small medium size,custom-global-chang-schema-organis
Topic_27,media rich theori,commun-messag-inspect-synchron-channel
Topic_28,systemat literatur review,studi-factor-empir-case-adopt
Topic_29,domain specif languag,method-safeti-refactor-specif-critic
Topic_30,reliabl growth model,model-releas-predict-paramet-growth
Topic_31,enterpris resourc plan,innov-firm-outsourc-manufactur-creativ
Topic_32,regress test select,fault-graph-depend-cluster-local
Topic_33,custom relationship manag,locat-devic-privaci-pervas-rfid
Topic_34,test suit reduct,flow-suit-slice-criteria-algebra
Topic_35,wireless sensor network,network-mobil-protocol-node-commun
Topic_36,support vector machin,perform-predict-parallel-memori-model
Topic_37,test concurr program,concurr-digit-imag-content-page
Topic_38,object orient design,qualiti-measur-metric-class-attribut
Topic_39,social network site,collabor-social-interact-onlin-studi
Topic_40,subject matter expert,bodi-endus-bodi knowledg-knowledg requir-requir commun
Topic_41,object orient program,object-orient-object orient-simul-health
Topic_42,architectur descript languag,process-distribut-tool-environ-support
Topic_43,report case studi,mainten-visual-trace-sequenc-tool
Topic_44,support cooper cscw,blind-metamorph-blind signatur-depend inform-cash
Topic_45,test case gener,test-case-gener-test case-techniqu
Topic_46,java virtual machin,scheme-workflow-platform-propos-attack
Topic_47,genet algorithm ga,problem-agent-solut-govern-solv
Topic_48,capabl matur model,featur-space-retriev-index-text
Topic_49,model driven develop,model-framework-product-develop-approach
