author_id,sterling_no,home_grown,diversity,total_topics,total_publications,no_of_paper_venues,total_active_year,h-index,total_cites
00007F5E,0.24626243699631695,0.9850497479852678,0.25,2,2,2,2,0.25,1
0001570C,0.07108971883367132,0.9555991322465861,0.07851239669421486,6,22,8,14,0.0,215
0002A8B1,0.20769798738083112,0.93464094321374,0.2222222222222222,2,3,2,2,0.0,7
00030A1D,0.8565940031115121,0.8565940031115121,1.0,2,1,1,1,0.0,6
0005004F,0.10652033041263781,0.7669463789709923,0.1388888888888889,2,6,4,5,32.225,23
0007EAD8,0.2068955591459428,0.8275822365837712,0.25,2,2,2,2,0.0,0
00094148,0.11322232960736356,0.9057786368589085,0.125,2,4,3,2,0.0,3
000A6D2D,0.05288462529502258,0.676923203776289,0.078125,2,16,6,6,5.0,5
000A7BA8,0.05604148937464847,0.9629841619550648,0.059313215400624356,4,31,6,12,96.5667,163
000AA4EE,0.13612431625043955,0.8707370532999468,0.14620187304890736,6,62,16,27,0.0,613
00100EC5,0.09556156833421975,0.873705767627152,0.109375,2,8,5,5,0.0,59
0011BBDD,0.05140244851932898,0.9377865315342707,0.05968858131487888,5,34,14,8,0.0,253
0012E188,0.06962594635376337,0.869634595442606,0.0816326530612245,3,21,6,7,204.9,111
001375EB,0.10922886868659187,0.9830598181793269,0.1111111111111111,2,6,4,3,119.817,52
0018A991,0.054606610476697,0.873705767627152,0.0625,2,8,3,5,62.75,95
0018C15E,0.19366551275781768,0.7746620510312707,0.25,2,4,2,2,0.0,0
001C3BA5,0.09586829737137403,0.7669463789709923,0.125,2,4,3,4,11.0833,12
001C7E63,0.4085808261608189,0.8171616523216378,0.5,2,2,2,2,0.0,0
001E5C01,0.19366551275781768,0.7746620510312707,0.25,2,2,1,1,9.0714,0
001E6D65,0.036685166638124926,0.8987865826340606,0.04081632653061224,2,7,5,4,0.0,100
00244956,0.013729875587191933,0.9885510422778192,0.013888888888888888,2,12,2,4,0.0,0
0024EF92,0.08719645968672839,0.8718383013102329,0.11200000000000002,4,25,12,11,854.641,51
002513FA,0.03687203549537162,0.8029909952325376,0.04591836734693878,2,14,6,8,0.0,0
002AAF7A,0.06081443991922782,0.8724991093462034,0.08012486992715921,4,31,11,12,193.817,434
002C06DE,0.1814626239915817,0.9678006612884357,0.1875,2,4,3,3,4.7333,0
002D9C1E,0.06368514863559134,0.9357471923415737,0.07130259511211892,5,63,15,12,0.0,655
002E1927,0.033342186653254155,0.8029909952325376,0.04152249134948097,2,17,11,12,70.2,97
002F53CC,0.10196093233066719,0.7617775692414751,0.1388888888888889,3,6,4,4,0.0,6
002F7C6F,0.9914427542803417,0.9914427542803417,1.0,2,1,1,1,0.0,0
002FFD07,0.24776111617255553,0.9910444646902221,0.25,2,4,1,2,0.0,0
00337ACB,0.06907379630370296,0.676923203776289,0.10204081632653061,2,7,5,3,27.0833,11
00360BFB,0.015535326818980007,0.8751567441358737,0.01775147928994083,3,13,2,7,0.0,112
00365B49,0.005079853507199648,0.9956512874111311,0.00510204081632653,2,14,5,12,0.0,9
00366FE0,0.02379385492341298,0.9636511243982258,0.024691358024691357,2,9,6,4,13.4167,27
0037DB1D,0.873705767627152,0.873705767627152,1.0,2,1,1,1,0.0,0
003B58CA,0.02265780707028795,0.8493631779126517,0.028925619834710745,3,22,7,10,68.8881,84
003F6379,0.053388963696824776,0.8898160616137463,0.06,2,10,4,7,0.0,20
0041F32B,0.0494495027543267,0.8833433034379986,0.05714285714285715,4,35,15,17,142.333,700
0041FB55,0.10342924201177045,0.8446721430961254,0.12244897959183672,4,7,3,5,0.0,3
00450942,0.08521626433011026,0.7669463789709923,0.1111111111111111,2,3,3,2,0.0,0
0047FB13,0.1357086119621304,0.789263541241693,0.1728395061728395,3,9,6,7,1.0,22
