,author_id,sterling_no,total_topics,total_publications,no_of_paper_venues,Total_active_year
0,0001570C,7.815788559456165,17,22,8,14
1,00027465,14.526648711002291,9,5,2,3
2,0005004F,1.96705703861836,6,6,4,5
3,000A6D2D,4.554339898679277,7,16,6,6
4,000A7BA8,4.5268516155525536,18,31,6,12
5,000AA4EE,5.284109245251103,19,62,16,27
6,000B8F43,4.6879114598327085,8,9,1,7
7,000CBE2D,0.3720461330003244,3,6,3,3
8,000CE250,3.5059943169000674,6,6,3,2
9,000FB9C9,2.8199216089597914,8,11,6,7
10,00100EC5,2.8183624759577204,6,8,5,5
11,0011BBDD,6.253418928637653,19,34,14,8
12,0012E188,4.163599948300952,13,21,6,7
13,001375EB,3.911401976043753,6,6,4,3
14,0018A991,2.430464250156143,5,8,3,5
15,001E6D65,0.7830474574105498,5,7,5,4
16,00202FF0,1.3942140227901358,5,11,2,6
17,00244956,6.224867144764406,10,12,2,4
18,0024EF92,4.340864283435176,15,25,12,11
19,002513FA,3.0072814236936947,10,14,6,8
20,002AAF7A,4.118986566687874,13,31,11,12
21,002C64E1,5.6798185206544956,11,9,7,2
22,002D9C1E,5.51678538632555,23,63,15,12
23,002E1927,2.846262725877946,12,17,11,12
24,002E3B70,2.179274476142967,10,17,2,9
25,002F53CC,6.699469564842625,8,6,4,4
26,00337ACB,8.14677291476034,10,7,5,3
27,00360BFB,1.4302456008019822,9,13,2,7
28,00365B49,1.0628955117802092,8,14,5,12
29,00366FE0,2.796678515691151,9,9,6,4
30,00389A78,2.6486043572587543,3,5,4,3
31,0039789D,2.677102216048726,4,5,3,4
32,003B58CA,2.178348017213348,10,22,7,10
33,003F6379,4.544116125610168,10,10,4,7
34,003F6696,1.9034266413013343,4,7,1,4
35,0041F32B,5.080950641376841,11,35,15,17
36,0041FB55,3.0157854325515077,6,7,3,5
37,0046881A,3.0016754152226195,9,11,1,4
38,0047FB13,1.8529624934810491,6,9,6,7
39,0048730D,1.0102457641084117,7,15,7,7
40,00499893,0.7259470917962093,4,6,5,4
41,004A5A26,0.7240238760537266,8,19,2,8
42,004BEC3A,3.228119735460096,11,24,8,10
43,004C820F,2.320047039373322,15,38,13,21
44,0051CF6D,3.760274586699502,12,11,6,7
45,0051E03F,2.349071787874499,6,6,4,3
46,0052790D,6.315007558669106,10,7,4,3
47,0059CB24,3.728624941063516,5,8,5,5
48,005B2E87,2.2385219612226734,9,13,6,7
49,005B7CDE,2.826432574349165,9,9,3,6
50,005BA575,3.2997318354323095,5,10,6,5
51,005D8B1E,4.056764875974743,11,17,9,7
52,005EC9B4,2.3320568843968714,6,9,4,4
53,00601954,4.025198185756206,10,10,7,7
54,0061E1C3,4.027690493299651,5,7,2,3
